item_seq,product_name,search_name,ingredients,maker,image,interaction_text
201702275,콜대원키즈코프시럽,콜대원키즈코프,,대원제약(주),,"MAO 억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 다른 진해거담제[기침·가래약], 감기약, 항히스타민제를 함유하는 내복약(비염[코염]용 경구제, 멀미약, 알레르기용약), 진정제와 함께 복용하지 마십시오."
201702297,이브터치연질캡슐,이브터치,,일양바이오팜(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150160203116300123,"다른 해열진통제, 감기약, 진정제와 함께 복용하지 마십시오. 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 이뇨제, 저용량 아스피린과 함께 복용 시 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오."
201702436,영비원정,영비원,,영진약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154246922660700037,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제와 함께 복용하지 마십시오.항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오.녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201702324,코스빌연질캡슐(덱시부프로펜),코스빌,덱시부프로펜,코스맥스파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MmZCvzws9h,"아스피린, 다른 비스테로이드성 소염진통제, 항암요법으로 사용하는 고용량(15 mg/주 이상)의 메토트렉세이트와 함께 복용하지 마십시오. 이 약을 복용하기 전에 코르티코스테로이드, 알코올, 디곡신, 페니토인, 프로베네시드, 설핀피라존, 설포닐우레아제, ACE 억제제, 안지오텐신Ⅱ 수용체 길항제, 이뇨제, 리튬, 쿠마린계 항응고제(와르파린 등), 바클로펜, 면역억제제(시클로스포린, 타크로리무스, 시롤리무스), 혈전용해제, 티클로피딘, 항혈전제, 혈중 칼륨농도를 증가시키는 약물(트리메토프림, 헤파린 등), CYP2C8, CYP2C9의 유도제(예, 리팜피신, 페노바르비탈), 저용량(15 mg/주 미만)의 메토트렉세이트, 항혈소판제 및 선택적 세로토닌 재흡수 억제제, 심근경색이나 뇌졸중 예방목적으로 저용량 아스피린을 복용하는 사람, 황색5호에 과민증 또는 알레르기 반응 경험자는 의사 또는 약사와 상의하십시오."
201702434,마이녹실겔3%(미녹시딜),마이녹실,미녹시딜,현대약품(주),,"다른 두피용 약물, 외용 코르티코이드, 레티노이드, 바셀린, 디트라놀 또는 경피흡수를 촉진시킨다고 알려진 약물, 구아네티틴 등의 혈관확장제와 함께 사용하지 마십시오."
201702575,오라메칠액(폴리크레줄렌액50%),오라메칠,폴리크레줄렌액50%,동국제약(주),,다른 외용제와 함께 사용하지 마십시오.
201702647,셀트리온아시클로버크림,셀트리온아시클로버,,(주)셀트리온제약,,프로베네시드를 투여한 환자는 의사 또는 약사와 상의하십시오.
201702682,킥센연질캡슐(나프록센),킥센,나프록센,지엘팜텍(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154596854345600035,"다른 비스테로이드성 소염진통제 및 나프록센 유도체와 함께 복용하지 마십시오. 히단토인계 항간질제, 설파제, 설포닐요소계 혈당강하제, 프로프라놀롤 및 다른 -차단제, ACE 저해제(캅토프릴 등), 루프계 및 티아지드계 이뇨제, 프로베네시드, 아스피린, 리튬, 메토트렉세이트, 쿠마린계 항응혈제(와파린 등), 지도부딘, 뉴퀴놀론계 항생물질(에녹사신 등)과 함께 복용 시 의사 또는 약사와 상의하십시오."
201702784,콜대원키즈펜시럽(아세트아미노펜),콜대원키즈펜,아세트아미노펜,대원제약(주),,"아세트아미노펜을 포함하는 다른 제품, 다른 소염(항염)진통제, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용하지 마십시오. 와파린, 리튬, 타아지드계 이뇨제, 플루클록사실린과 함께 복용 시 의사 또는 약사와 상의하십시오."
201703045,쿼드케어연고,쿼드케어,,일양약품(주),,
201703064,디카본100정,디카본100,,코스맥스파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150471247127400059,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제와 함께 복용하지 마십시오. 강심배당체, 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오. 녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201703065,디카본300정,디카본300,,코스맥스파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150471247127400053,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제와 함께 복용하지 마십시오. 이 약을 복용하기 전에 강심배당체를 투여 중인 환자는 의사 또는 약사와 상의하십시오. 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오. 녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201703066,디카본500정,디카본500,,코스맥스파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150471247127400065,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제와 함께 복용하지 마십시오. 이 약을 복용하기 전에 강심배당체를 투여 중인 환자는 의사 또는 약사와 상의하십시오. 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오. 녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201703175,크린클관류제(염화나트륨),크린클관류제,염화나트륨,제이더블유생명과학(주),,
201703185,유클리어톡외용액(살리실산),유클리어톡외용,살리실산,(주)유유제약,,
201703186,제놀코인플라스타,제놀코인플라스타,,(주)녹십자,,
201704002,노펜파워핫카타플라스마,노펜파워핫카타플라스마,,제이더블유중외제약(주),,
201704017,모바렌캡슐,모바렌,,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151973917096800109,설폰아미드 제제와 함께 사용 시 의사 또는 약사와 상의하십시오.
201704468,디노타시럽,디노타,,조아제약(주),,"이 약을 복용하는 동안 다른 진토제, 감기약, 해열진통제, 항히스타민제, 진정제, 진해거담제, 알코올성 음료 등을 복용하지 마십시오."
201704496,아세릴네일라카 (아모롤핀염산염),아세릴네일라카,아모롤핀염산염,알리코제약(주),,
201704734,이지톡크림,이지톡,,시믹씨엠오코리아주식회사,,
201704840,폴레디정(폴산),폴레디,폴산,(주)에이프로젠바이오로직스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pvn3im1yd-,"아미노살리실산, 경구용 피임제, 디하이드로폴레이트 환원효소 저해제(메토트렉세이트, 트리메토프림 등), 페니토인 같은 히단토인계 항전간제, 설파살라진, 콜레스티라민을 복용 중인 환자는 의사 또는 약사와 상의하십시오."
201704841,벤스쿨크림,벤스쿨,,알파제약(주),,
201704843,본디칼정,본디칼,,(주)아이월드제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150488501735900011,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제와 함께 복용하지 마십시오. 강심배당체, 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오. 녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201704844,본디칼맥스정,본디칼맥스,,(주)아이월드제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150488501735800106,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제와 함께 복용하지 마십시오. 강심배당체, 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오. 녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201704845,본디칼플러스정,본디칼플러스,,(주)아이월드제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150488501735900005,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제와 함께 복용하지 마십시오. 강심배당체, 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오. 녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201705165,예나젠질용액0.1%(벤지다민염산염),예나젠질용,벤지다민염산염,(주)베키오바이오젠,,
201705176,제놀더블액션카타플라스마,제놀더블액션카타플라스마,,(주)녹십자,,
201705219,그날엔콜드플러스연질캡슐,그날엔콜드플러스,,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150539922160400068,"진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오. MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오. 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용 시 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오."
201705220,그날엔코프플러스연질캡슐,그날엔코프플러스,,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150539922160400080,"진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오. 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제, 알코올, 플루클록사실린과 함께 복용 시 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오."
201705249,마그칼연질캡슐,마그칼,,코스맥스파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150470345187400093,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제와 함께 복용하지 마십시오.강심배당체, 항알도스테론제, 트리암테렌, 정주용 지질제와 함께 사용 시 의사 또는 약사와 상의하십시오.녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
