ingredient_a,ingredient_b,severity,mechanism,advice,min_interval_hours,source
디히드로에르고타민,플루코나졸,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",,,식약처 DUR 병용금기
미다졸람,아타자나비르,5,진정작용이나 호흡억제를 증가 또는 연장,,,식약처 DUR 병용금기
노르에피네프린,이소프로테레놀,5,"심부정맥, 경우에 따라 심정지",,,식약처 DUR 병용금기
살부타몰,에피네프린,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
니코란딜,타다라필,5,혈압강하작용 증강,,,식약처 DUR 병용금기
니코란딜,바데나필,5,혈압강하작용 증강,,,식약처 DUR 병용금기
에스시탈로프람,피모짓,5,QT 간격 연장,,,식약처 DUR 병용금기
플루옥세틴,피모짓,5,QT 간격 연장,,,식약처 DUR 병용금기
플루복사민,피모짓,5,QT 간격 연장,,,식약처 DUR 병용금기
파록세틴,피모짓,5,QT 간격 연장,,,식약처 DUR 병용금기
설트랄린,피모짓,5,QT 간격 연장,,,식약처 DUR 병용금기
시부트라민,펜터민,5,"세로토닌 증후군(간대성 근경련, 진전, 편무도병, 조화운동불능, 말더듬증 고열, 정신상태 변화등)",,,식약처 DUR 병용금기
시부트라민,펜디메트라진타르타르산염,5,"세로토닌 증후군(간대성 근경련, 진전, 편무도병, 조화운동불능, 말더듬증 고열, 정신상태 변화등)？",,,식약처 DUR 병용금기
디에틸프로피온,시부트라민,5,"세로토닌 증후군(간대성 근경련, 진전, 편무도병, 조화운동불능, 말더듬증 고열, 정신상태 변화등)",,,식약처 DUR 병용금기
마진돌,시부트라민,5,"세로토닌 증후군(간대성 근경련, 진전, 편무도병, 조화운동불능, 말더듬증 고열, 정신상태 변화등)",,,식약처 DUR 병용금기
니코란딜,유데나필,5,혈압강하작용 증강,,,식약처 DUR 병용금기
니코란딜,미로데나필,5,혈압강하작용 증강,,,식약처 DUR 병용금기
록시트로마이신,에르고타민,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",,,식약처 DUR 병용금기
에르고타민,에리트로마이신,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",,,식약처 DUR 병용금기
에르고타민,클래리트로마이신,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",,,식약처 DUR 병용금기
에르고타민,졸미트립탄,5,"약리적 상가작용에 의해, 혈압 상승 및 맥각중독(에르고티즘)(말초혈관수축 증가)의 위험성을 증가",,,식약처 DUR 병용금기
모클로베미드,아토목세틴,5,"고열, 경직, 간대성근경련, 정신상태 변화 등",,,식약처 DUR 병용금기
셀레길린염산염,아토목세틴,5,"고열, 경직, 간대성근경련, 정신상태 변화 등",,,식약처 DUR 병용금기
셀레길린염산염,클로미프라민,5,"고혈압위기, 이상고열증, 근간대경련, 격월성 발작, 정신착란, 혼수 등",,,식약처 DUR 병용금기
디에틸프로피온,모클로베미드,5,고혈압위기 유발,,,식약처 DUR 병용금기
디에틸프로피온,셀레길린염산염,5,고혈압위기 유발,,,식약처 DUR 병용금기
레보메프로마진,모클로베미드,5,중추 흥분상태 증가,,,식약처 DUR 병용금기
레보메프로마진,셀레길린염산염,5,중추 흥분상태 증가,,,식약처 DUR 병용금기
마진돌,모클로베미드,5,혈압상승 위험 유발,,,식약처 DUR 병용금기
마진돌,셀레길린염산염,5,혈압상승 위험 유발,,,식약처 DUR 병용금기
모클로베미드,펜디메트라진타르타르산염,5,혈압상승 위험,,,식약처 DUR 병용금기
셀레길린염산염,펜디메트라진타르타르산염,5,혈압상승 위험,,,식약처 DUR 병용금기
모클로베미드,펜터민,5,혈압상승 위험,,,식약처 DUR 병용금기
셀레길린염산염,펜터민,5,혈압상승 위험,,,식약처 DUR 병용금기
모클로베미드,퀴누프라민,5,혈압변동의 위험,,,식약처 DUR 병용금기
셀레길린염산염,퀴누프라민,5,혈압변동의 위험,,,식약처 DUR 병용금기
모클로베미드,졸미트립탄,5,졸미트립탄의 혈중농도 증가,,,식약처 DUR 병용금기
알모트립탄,에르고타민,5,"상가적인 혈관수축반응, 혈압상승",,,식약처 DUR 병용금기
나라트립탄,알모트립탄,5,"상가적인 혈관수축반응, 혈압상승",,,식약처 DUR 병용금기
수마트립탄,알모트립탄,5,"상가적인 혈관수축반응, 혈압상승",,,식약처 DUR 병용금기
알모트립탄,졸미트립탄,5,"상가적인 혈관수축반응, 혈압상승",,,식약처 DUR 병용금기
디에틸프로피온,펜디메트라진타르타르산염,5,판막심장병 위험,,,식약처 DUR 병용금기
디에틸프로피온,펜터민,5,판막심장병 위험,,,식약처 DUR 병용금기
디에틸프로피온,마진돌,5,판막심장병 위험,,,식약처 DUR 병용금기
펜디메트라진타르타르산염,펜터민,5,판막심장병 위험,,,식약처 DUR 병용금기
마진돌,펜디메트라진타르타르산염,5,판막심장병 위험,,,식약처 DUR 병용금기
마진돌,펜터민,5,판막심장병 위험,,,식약처 DUR 병용금기
다루나비르,미다졸람,5,"진정작용의 증가 및 연장, 호흡저하판막심장병 위험",,,식약처 DUR 병용금기
로피나비르,미다졸람,5,"진정작용의 증가 및 연장, 호흡저하판막심장병 위험",,,식약처 DUR 병용금기
넬피나비어,미다졸람,5,"진정작용의 증가 및 연장, 호흡저하판막심장병 위험",,,식약처 DUR 병용금기
리토나비르,쿠아제팜,5,과도한 진정 및 호흡억제,,,식약처 DUR 병용금기
클로르탈리돈,탄산리튬,5,리튬독성증강,,,식약처 DUR 병용금기
디히드로에르고타민,로피나비르,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
디히드로에르고타민,포사코나졸,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
디히드로에르고타민,에르고타민,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
디히드로에르고타민,아지트로마이신,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
란소프라졸,아타자나비르,5,아타자나비르의 혈중농도 감소,,,식약처 DUR 병용금기
아타자나비르,에스오메프라졸,5,아타자나비르의 혈중농도 감소,,,식약처 DUR 병용금기
라베프라졸,아타자나비르,5,아타자나비르의 혈중농도 감소,,,식약처 DUR 병용금기
레바프라잔,아타자나비르,5,아타자나비르의 혈중농도 감소,,,식약처 DUR 병용금기
아타자나비르,판토프라졸,5,아타자나비르의 혈중농도 감소,,,식약처 DUR 병용금기
아타자나비르,일라프라졸,5,아타자나비르의 혈중농도 감소,,,식약처 DUR 병용금기
넬피나비어,다폭세틴,5,다폭세틴 농도 상승,,,식약처 DUR 병용금기
메톡시페나민,에피네프린,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
에피네프린,툴로부테롤,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
노르에피네프린,살부타몰,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
노르에피네프린,페노테롤,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
노르에피네프린,클렌부테롤,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
노르에피네프린,메톡시페나민,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
노르에피네프린,프로카테롤,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
노르에피네프린,툴로부테롤,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
노르에피네프린,테르부탈린황산염,5,부정맥 도는 심정지,,,식약처 DUR 병용금기
노르에피네프린,에페드린,5,부정맥 또는 심정지,,,식약처 DUR 병용금기
다폭세틴,모클로베미드,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
다폭세틴,셀레길린염산염,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
다폭세틴,수마트립탄,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
실데나필,타다라필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
실데나필,유데나필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
바데나필,실데나필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
미로데나필,실데나필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
유데나필,타다라필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
미로데나필,타다라필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
미로데나필,유데나필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
미로데나필,바데나필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
바데나필,타다라필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
바데나필,유데나필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
아미노카프론산,트롬빈,5,혈전형성,,,식약처 DUR 병용금기
트라넥삼산,트롬빈,5,혈전형성,,,식약처 DUR 병용금기
트롬빈,헤모코아귤라제,5,혈전형성,,,식약처 DUR 병용금기
글리클라지드,미코나졸,5,저혈당 또는 혼수,,,식약처 DUR 병용금기
네틸마이신,푸로세미드,5,신독성 및 청각독성증강,,,식약처 DUR 병용금기
겐타마이신,푸로세미드,5,신독성 및 청각독성증강,,,식약처 DUR 병용금기
디히드로에르고타민,미데카마이신,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
미데카마이신,에르고타민,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
에르고타민,플루코나졸,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
다루나비르,에르고타민,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
에르고타민,포사코나졸,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
아지트로마이신,에르고타민,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
에르고타민,에파비렌즈,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",,,식약처 DUR 병용금기
미졸라스틴,스피라마이신,5,심실운동 특히 Torsade de pointes에 대한 위험 증가,,,식약처 DUR 병용금기
메타사이클린,이소트레티노인,5,두개내 고혈압,,,식약처 DUR 병용금기
미노사이클린,트레티노인,5,두개내 고혈압,,,식약처 DUR 병용금기
메타사이클린,아시트레틴,5,두개내 고혈압,,,식약처 DUR 병용금기
리토나비르,블로난세린,5,신경학적 또는 기타 독성의 빈도 및 강도가 증가,,,식약처 DUR 병용금기
로바스타틴,인디나빌,5,횡문근융해증/근육병증 및 이에 수반되는 급격한 신기능악화,,,식약처 DUR 병용금기
로바스타틴,리토나비르,5,횡문근융해증/근육병증 및 이에 수반되는 급격한 신기능악화,,,식약처 DUR 병용금기
넬피나비어,로바스타틴,5,횡문근융해증/근육병증 및 이에 수반되는 급격한 신기능악화,,,식약처 DUR 병용금기
심바스타틴,포사코나졸,5,근병증 및 횡문근융해,,,식약처 DUR 병용금기
로바스타틴,포사코나졸,5,근병증 및 횡문근융해,,,식약처 DUR 병용금기
알파칼시돌,칼시트리올,5,고칼슘혈증,,,식약처 DUR 병용금기
알파칼시돌,칼시페디올,5,고칼슘혈증,,,식약처 DUR 병용금기
알파칼시돌,파리칼시톨,5,고칼슘혈증,,,식약처 DUR 병용금기
칼시트리올,칼시페디올,5,고칼슘혈증,,,식약처 DUR 병용금기
칼시트리올,파리칼시톨,5,고칼슘혈증,,,식약처 DUR 병용금기
칼시페디올,파리칼시톨,5,고칼슘혈증,,,식약처 DUR 병용금기
스피로노락톤,염화칼륨,5,고칼륨혈증,,,식약처 DUR 병용금기
아미로라이드,염화칼륨,5,고칼륨혈증,,,식약처 DUR 병용금기
아데포비어디피복실,테노포비르,5,신장청소율을 감소시켜 양쪽 약물 모두 혈장농도 상승,,,식약처 DUR 병용금기
아타자나비르,이리노테칸,5,"골수기능 억제,설사 등 부작용 증강",,,식약처 DUR 병용금기
덱스케토프로펜,시프로플록사신,5,경련 발생,,,식약처 DUR 병용금기
로피나비르,블로난세린,5,Blonanserin 농도의 증가로 신경학적 또는 기타의 독성 가능성 증가,,,식약처 DUR 병용금기
디히드로에르고타민,프로바트립탄,5,혈압상승 및 맥각독성(말초혈관수축 증가)의 위험성 증가,,,식약처 DUR 병용금기
에르고타민,프로바트립탄,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",,,식약처 DUR 병용금기
로피나비르,에르고타민,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",,,식약처 DUR 병용금기
메토트렉세이트,아세메타신,5,신세뇨관에서 Methotrexate 배설이 지연되어 Methotrexate의 혈액학적 독성 증가,,,식약처 DUR 병용금기
덱스케토프로펜,메토트렉세이트,5,신세뇨관에서 Methotrexate 배설이 지연되어 Methotrexate의 혈액학적 독성 증가,,,식약처 DUR 병용금기
메토트렉세이트,케토프로펜,5,신세뇨관에서 Methotrexate 배설이 지연되어 Methotrexate의 혈액학적 독성 증가,,,식약처 DUR 병용금기
메토트렉세이트,멜록시캄,5,신세뇨관에서 Methotrexate 배설이 지연되어 Methotrexate의 혈액학적 독성 증가,,,식약처 DUR 병용금기
메토트렉세이트,피록시캄,5,신세뇨관에서 Methotrexate 배설이 지연되어 Methotrexate의 혈액학적 독성 증가,,,식약처 DUR 병용금기
메토트렉세이트,트로메타몰,5,신세뇨관에서 Methotrexate 배설이 지연되어 Methotrexate의 혈액학적 독성 증가,,,식약처 DUR 병용금기
브로모크립틴,아미설프리드,5,길항작용,,,식약처 DUR 병용금기
아미설프리드,프라미펙솔,5,길항작용,,,식약처 DUR 병용금기
포사코나졸,피모짓,5,QT 간격 연장,,,식약처 DUR 병용금기
요오드화나트륨(131I),요오드화옥사피움,5,131I 섭취율 저하,,,식약처 DUR 병용금기
알모트립탄,프로바트립탄,5,추가적인 관상혈관 경련으로 고혈압 및 관상 동맥 협착의 위험성 증가,,,식약처 DUR 병용금기
나라트립탄,프로바트립탄,5,추가적인 관상혈관 경련으로 고혈압 및 관상 동맥 협착의 위험성 증가,,,식약처 DUR 병용금기
아목사핀,아티카인,5,리듬장애를 수반한 발작성 고혈압,,,식약처 DUR 병용금기
드로네다론,아만타딘,5,QT 간격 연장,,,식약처 DUR 병용금기
미졸라스틴,아만타딘,5,QT 간격 연장,,,식약처 DUR 병용금기
아만타딘,피모짓,5,QT 간격 연장,,,식약처 DUR 병용금기
드로네다론,피모짓,5,QT 간격 연장,,,식약처 DUR 병용금기
미졸라스틴,피모짓,5,QT 간격 연장,,,식약처 DUR 병용금기
드로네다론,지프라시돈,5,QT 간격 연장,,,식약처 DUR 병용금기
미졸라스틴,지프라시돈,5,QT 간격 연장,,,식약처 DUR 병용금기
지프라시돈,피모짓,5,QT 간격 연장,,,식약처 DUR 병용금기
넬피나비어,블로난세린,5,Blonanserin 혈중 약물 농도 증가로 작용 증대,,,식약처 DUR 병용금기
바데나필,이트라코나졸,5,Vardenafil의 혈중농도 증가,,,식약처 DUR 병용금기
보센탄,타크로리무스,5,보센탄의 혈중농도 증가,,,식약처 DUR 병용금기
디피리다몰,메토트렉세이트,5,메토트렉세이트의 혈액학적 독성 증가,,,식약처 DUR 병용금기
에제티미브,이트라코나졸,5,근증/횡문근변성의 위험성이 증가,,,식약처 DUR 병용금기
에제티미브,케토코나졸,5,근증/횡문근변성의 위험성이 증가,,,식약처 DUR 병용금기
에리트로마이신,에제티미브,5,근증/횡문근변성의 위험성이 증가,,,식약처 DUR 병용금기
에제티미브,인디나빌,5,근증/횡문근변성의 위험성이 증가,,,식약처 DUR 병용금기
다루나비르,로바스타틴,5,횡문근융해증/근육병증 및 이에 수반되는 급격한 신기능 악화,,,식약처 DUR 병용금기
로바스타틴,로피나비르,5,횡문근융해증/근육병증 및 이에 수반되는 급격한 신기능 악화,,,식약처 DUR 병용금기
다루나비르,심바스타틴,5,근병증/횡문근융해,,,식약처 DUR 병용금기
아타자나비르,에제티미브,5,근증/횡문근변성의 위험성이 증가,,,식약처 DUR 병용금기
로피나비르,에제티미브,5,근증/횡문근변성의 위험성이 증가,,,식약처 DUR 병용금기
다루나비르,에제티미브,5,근증/횡문근변성의 위험성이 증가,,,식약처 DUR 병용금기
넬피나비어,에제티미브,5,근증/횡문근변성의 위험성이 증가,,,식약처 DUR 병용금기
메톨라존,탄산리튬,5,리튬 독성 증가,,,식약처 DUR 병용금기
드로네다론,아미오다론,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
아미오다론,피모짓,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
아미오다론,이미프라민,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
노르트립틸린,아미오다론,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
아미오다론,아미트리프틸린,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
아만타딘,아미오다론,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
돌라세트론,아미오다론,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
드로네다론,이미프라민,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
노르트립틸린,드로네다론,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
드로네다론,아미트리프틸린,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
돌라세트론,드로네다론,5,Torsade de pointes 위험 증가,,,식약처 DUR 병용금기
아데포비어디피복실,엠트리시타빈,5,양쪽 약물 모두 혈장농도 상승 가능,,,식약처 DUR 병용금기
메트포르민,아이오다이즈드오일,5,기능적 신부전에 의해 유산 산성증 촉진,,,식약처 DUR 병용금기
아바나필,아타자나비르,5,혈압강하증가,,,식약처 DUR 병용금기
아바나필,클로람페니콜,5,혈압강하증가,,,식약처 DUR 병용금기
아바나필,클래리트로마이신,5,혈압강하증가,,,식약처 DUR 병용금기
아바나필,코비시스타트,5,혈압강하증가,,,식약처 DUR 병용금기
다루나비르,아바나필,5,혈압강하증가,,,식약처 DUR 병용금기
아바나필,인디나빌,5,혈압강하증가,,,식약처 DUR 병용금기
아바나필,이트라코나졸,5,혈압강하증가,,,식약처 DUR 병용금기
로피나비르,아바나필,5,혈압강하증가,,,식약처 DUR 병용금기
미로데나필,아바나필,5,혈압강하증가,,,식약처 DUR 병용금기
몰시도민,아바나필,5,혈압강하증가,,,식약처 DUR 병용금기
넬피나비어,아바나필,5,혈압강하증가,,,식약처 DUR 병용금기
니카르디핀,아바나필,5,기절의 효과감소,,,식약처 DUR 병용금기
니코란딜,아바나필,5,혈압강하증가,,,식약처 DUR 병용금기
니트로글리세린,아바나필,5,혈압강하증가,,,식약처 DUR 병용금기
니트로푸루시드,아바나필,5,혈압강하증가,,,식약처 DUR 병용금기
아바나필,포사코나졸,5,혈압강하증가,,,식약처 DUR 병용금기
리토나비르,아바나필,5,혈압강하증가,,,식약처 DUR 병용금기
실데나필,아바나필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
아바나필,타다라필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
아바나필,유데나필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
바데나필,아바나필,5,동일계열 병용투여 금기,,,식약처 DUR 병용금기
보리코나졸,아바나필,5,혈압강하증가,,,식약처 DUR 병용금기
몰시도민,미로데나필,5,혈압강하증가,,,식약처 DUR 병용금기
니트로글리세린,미로데나필,5,혈압강하증가,,,식약처 DUR 병용금기
니트로푸루시드,미로데나필,5,혈압강하증가,,,식약처 DUR 병용금기
실데나필,인디나빌,5,혈압강하증가,,,식약처 DUR 병용금기
로피나비르,실데나필,5,혈압강하증가,,,식약처 DUR 병용금기
리토나비르,실데나필,5,혈압강하증가,,,식약처 DUR 병용금기
바데나필,아미오다론,5,혈압강하증가,,,식약처 DUR 병용금기
바데나필,아타자나비르,5,혈압강하증가,,,식약처 DUR 병용금기
바데나필,코비시스타트,5,혈압강하증가,,,식약처 DUR 병용금기
다루나비르,바데나필,5,혈압강하증가,,,식약처 DUR 병용금기
드로네다론,바데나필,5,혈압강하증가,,,식약처 DUR 병용금기
바데나필,인디나빌,5,혈압강하증가,,,식약처 DUR 병용금기
로피나비르,바데나필,5,혈압강하증가,,,식약처 DUR 병용금기
넬피나비어,바데나필,5,혈압강하증가,,,식약처 DUR 병용금기
리토나비르,바데나필,5,혈압강하증가,,,식약처 DUR 병용금기
바데나필,소타롤,5,혈압강하증가,,,식약처 DUR 병용금기
시프로테론,에토노게스트렐,5,혈전색전증 위험을 높임,,,식약처 DUR 병용금기
레보노르게스트렐,시프로테론,5,혈전색전증 위험을 높임,,,식약처 DUR 병용금기
데소게스트렐,시프로테론,5,혈전색전증 위험을 높임,,,식약처 DUR 병용금기
드로스피레논,시프로테론,5,혈전색전증 위험을 높임,,,식약처 DUR 병용금기
게스토덴,시프로테론,5,혈전색전증 위험을 높임,,,식약처 DUR 병용금기
메드록시프로게스테론,시프로테론,5,혈전색전증 위험을 높임,,,식약처 DUR 병용금기
덱스란소프라졸,아타자나비르,5,Atazanavir의 치료효과 감소 및 내성발현 위험 증가,,,식약처 DUR 병용금기
넬피나비어,에스오메프라졸,5,Nelfinavir의 치료효과 감소 및 내성발현 위험 증가,,,식약처 DUR 병용금기
에피네프린,올란자핀,5,중증의 혈압강하를 일으킬 수 있음,,,식약처 DUR 병용금기
넬피나비어,오메프라졸,5,Nelfinavir의 치료효과 감소 및 내성발현 위험 증가,,,식약처 DUR 병용금기
아고멜라틴,플루복사민,5,아고멜라틴 혈중농도 증가,,,식약처 DUR 병용금기
시프로플록사신,아고멜라틴,5,아고멜라틴 혈중농도 증가,,,식약처 DUR 병용금기
다비가트란에텍실레이트,사이클로스포린,5,다비가트란의 혈중농도가 상승하여 출혈위험 증가,,,식약처 DUR 병용금기
다비가트란에텍실레이트,드로네다론,5,다비가트란의 혈중농도가 상승하여 출혈위험 증가,,,식약처 DUR 병용금기
다비가트란에텍실레이트,이트라코나졸,5,다비가트란의 혈중농도가 상승하여 출혈위험 증가,,,식약처 DUR 병용금기
도리페넴,발프로산,5,발프론산의 혈중농도를  감소시켜 간질발작 재발의 위험 증가,,,식약처 DUR 병용금기
에트라비린,카르바마제핀,5,에트라비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
에트라비린,페노바르비탈,5,에트라비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
에트라비린,페니토인,5,에트라비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
리팜피신,에트라비린,5,에트라비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
세인트존스워트,에트라비린,5,에트라비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
메르캅토푸린,페북소스타트,5,메르캅토푸린의 혈중농도 증가,,,식약처 DUR 병용금기
아자티오프린,페북소스타트,5,아자치오프린의 혈중농도 증가,,,식약처 DUR 병용금기
포스아프레피탄트 디메글루민염,피모짓,5,피모짓의 혈중농도 증가,,,식약처 DUR 병용금기
와파린,이그라티모드,5,와파린작용 증대,,,식약처 DUR 병용금기
이바브라딘,이트라코나졸,5,이바브라딘의 혈중농도 증가,,,식약처 DUR 병용금기
이바브라딘,클래리트로마이신,5,이바브라딘의 혈중농도 증가,,,식약처 DUR 병용금기
넬피나비어,이바브라딘,5,이바브라딘의 혈중농도 증가,,,식약처 DUR 병용금기
리토나비르,이바브라딘,5,이바브라딘의 혈중농도 증가,,,식약처 DUR 병용금기
에리트로마이신,이바브라딘,5,이바브라딘의 혈중농도 증가,,,식약처 DUR 병용금기
라사길린,모클로베미드,5,"고혈압위기, 세로토닌증후군 발생 위험 증가",,,식약처 DUR 병용금기
라사길린,셀레길린염산염,5,"고혈압위기, 세로토닌증후군 발생 위험 증가",,,식약처 DUR 병용금기
라사길린,페티딘,5,"고혈압위기, 세로토닌증후군 발생 위험 증가",,,식약처 DUR 병용금기
라사길린,트라마돌,5,"고혈압위기, 세로토닌증후군 발생 위험 증가",,,식약처 DUR 병용금기
라사길린,시클로벤자프린,5,"고혈압위기, 세로토닌증후군 발생 위험 증가",,,식약처 DUR 병용금기
라사길린,세인트존스워트,5,"고혈압위기, 세로토닌증후군 발생 위험 증가",,,식약처 DUR 병용금기
메타사이클린,트레티노인,5,두개내 고혈압,,,식약처 DUR 병용금기
릴피비린,카르바마제핀,5,릴피비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
릴피비린,옥스카르바제핀,5,릴피비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
릴피비린,페노바르비탈,5,릴피비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
릴피비린,페니토인,5,릴피비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
릴피비린,포스페니토인,5,릴피비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
리팜피신,릴피비린,5,릴피비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
릴피비린,세인트존스워트,5,릴피비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,,,식약처 DUR 병용금기
릴피비린,오메프라졸,5,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,,,식약처 DUR 병용금기
릴피비린,에스오메프라졸,5,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,,,식약처 DUR 병용금기
란소프라졸,릴피비린,5,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,,,식약처 DUR 병용금기
덱스란소프라졸,릴피비린,5,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,,,식약처 DUR 병용금기
릴피비린,판토프라졸,5,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,,,식약처 DUR 병용금기
릴피비린,에스판토프라졸,5,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,,,식약처 DUR 병용금기
라베프라졸,릴피비린,5,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,,,식약처 DUR 병용금기
릴피비린,일라프라졸,5,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,,,식약처 DUR 병용금기
레바프라잔,릴피비린,5,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,,,식약처 DUR 병용금기
리바록사반,아타자나비르,5,리바록사반의 혈중농도가 상승하여 출혈위험 증가,,,식약처 DUR 병용금기
리바록사반,인디나빌,5,리바록사반의 혈중농도가 상승하여 출혈위험 증가,,,식약처 DUR 병용금기
리바록사반,리토나비르,5,리바록사반의 혈중농도가 상승하여 출혈위험 증가,,,식약처 DUR 병용금기
리바록사반,코비시스타트,5,리바록사반의 혈중농도가 상승하여 출혈위험 증가,,,식약처 DUR 병용금기
리바록사반,이트라코나졸,5,리바록사반의 혈중농도가 상승하여 출혈위험 증가,,,식약처 DUR 병용금기
리바록사반,보리코나졸,5,리바록사반의 혈중농도가 상승하여 출혈위험 증가,,,식약처 DUR 병용금기
실로도신,클래리트로마이신,5,실로도신의 혈중농도 증가,,,식약처 DUR 병용금기
실로도신,이트라코나졸,5,실로도신의 혈중농도 증가,,,식약처 DUR 병용금기
리토나비르,실로도신,5,실로도신의 혈중농도 증가,,,식약처 DUR 병용금기
클래리트로마이신,티카그렐러,5,티카그렐러의 혈중농도 증가,,,식약처 DUR 병용금기
