ingredient_a,ingredient_b,severity,mechanism,advice,min_interval_hours,source
아세클로페낙,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
세레콕시브,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
덱시부프로펜,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
에토돌락,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
아토르바스타틴,이트라코나졸,5,근육병증,,,식약처 DUR 병용금기
디클로페낙,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
케토롤락,페노프로펜,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
케토롤락,플루르비프로펜,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
메페남산,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
멜록시캄,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
나부메톤,케토롤락,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
케토롤락,테녹시캄,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
모클로베미드,슈도에페드린,5,교감신경흥분제의 작용 증강 또는 연장,,,식약처 DUR 병용금기
이미프라민,피모짓,5,QT연장,,,식약처 DUR 병용금기
노르트립틸린,피모짓,5,QT연장,,,식약처 DUR 병용금기
심바스타틴,인디나빌,5,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,,,식약처 DUR 병용금기
로피나비르,심바스타틴,5,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,,,식약처 DUR 병용금기
넬피나비어,심바스타틴,5,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,,,식약처 DUR 병용금기
리토나비르,심바스타틴,5,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,,,식약처 DUR 병용금기
디플루니살,아세메타신,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
모르핀,부프레노르핀,5,"진통효과 감소, 금단증상 위험",,,식약처 DUR 병용금기
디플루니살,인도메타신,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
시프로플록사신,케토프로펜,5,경련,,,식약처 DUR 병용금기
케토롤락,펜톡시필린,5,출혈 및 프로트롬빈시간 연장,,,식약처 DUR 병용금기
